City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,yuxia,34.0615,108.6291,21.16,47,0,2.06,CN,1697958641
170,al qubbah,32.7616,22.2424,22.93,37,96,6.05,LY,1697958641
171,crane,31.3974,-102.3501,22.76,40,100,6.49,US,1697958641
172,vorgashor,67.5833,63.95,-6.16,90,16,4.96,RU,1697958639
173,kavaratti,10.5669,72.642,28.46,72,12,2.86,IN,1697958642
174,chudovo,59.1167,31.6833,1.45,88,97,2.96,RU,1697958642
175,celestun,20.8667,-90.4,23.4,79,11,5.19,MX,1697958642
176,newport,51.5877,-2.9984,9.18,91,16,1.74,GB,1697958642
177,menongue,-14.6585,17.691,26.11,44,48,2.89,AO,1697958642
178,talakan,50.3167,130.3667,4.0,47,6,4.91,RU,1697958643
179,tionk essil,12.7856,-16.5217,25.56,86,100,1.82,SN,1697958643
180,vernon,50.2581,-119.2691,10.72,86,100,0.51,CA,1697958378
181,fada,9.5667,8.3,22.77,60,100,1.58,NG,1697958643
182,remire-montjoly,4.9167,-52.2667,25.02,100,20,0.0,GF,1697958643
183,heihe,50.2441,127.4902,8.32,30,5,6.16,CN,1697958643
184,terenos,-20.4422,-54.8603,27.84,54,0,8.23,BR,1697958644
185,calama,-22.4667,-68.9333,14.62,44,99,1.72,CL,1697958644
186,yerofey pavlovich,53.9667,121.9667,4.53,40,12,2.58,RU,1697958644
187,ust-nera,64.5667,143.2,-7.8,96,100,3.08,RU,1697958644
188,irece,-11.3042,-41.8558,19.35,63,0,5.6,BR,1697958644
189,alaghsas,17.0187,8.0168,28.67,14,100,5.07,NE,1697958645
190,saint-philippe,-21.3585,55.7679,27.28,69,1,4.54,RE,1697958645
191,extrema,-22.8547,-46.3183,15.24,96,36,1.59,BR,1697958429
192,idri,27.5,13.2667,27.79,16,6,2.95,LY,1697958645
193,nicoya,10.1483,-85.452,23.19,92,99,0.77,CR,1697958645
194,fale old settlement,-9.3852,-171.2468,28.76,73,83,2.72,TK,1697958646
195,badger,64.8,-147.5333,-4.05,76,100,3.09,US,1697958646
196,dingzhou,38.5131,114.9956,23.35,17,0,1.03,CN,1697958646
197,dar kulayb,26.0686,50.5039,33.09,75,0,4.98,BH,1697958647
198,smithers,54.7804,-127.1743,2.38,92,53,1.12,CA,1697958647
199,paradip garh,20.3167,86.6167,28.43,60,100,5.92,IN,1697958647
200,cartagena del chaira,1.3349,-74.8429,21.53,88,47,0.71,CO,1697958647
201,carnarvon,-24.8667,113.6333,24.93,58,100,9.73,AU,1697958647
202,jose maria morelos,23.3952,-103.8984,13.16,86,100,2.18,MX,1697958648
203,ampang,3.1498,101.768,32.77,72,99,1.74,MY,1697958648
204,kattivakkam,13.2167,80.3167,33.37,64,61,6.51,IN,1697958648
205,qaqortoq,60.7167,-46.0333,0.06,48,99,2.8,GL,1697958648
206,kailua-kona,19.6406,-155.9956,23.11,99,79,1.03,US,1697958648
207,monticello,45.3055,-93.7941,8.1,90,75,0.0,US,1697958649
208,el granada,37.5027,-122.4694,17.18,79,100,3.09,US,1697958635
209,olonkinbyen,70.9221,-8.7187,3.08,89,11,3.96,SJ,1697958649
210,brookings,44.3114,-96.7984,6.7,88,0,0.0,US,1697958649
211,westport,41.1415,-73.3579,14.2,75,20,6.17,US,1697958517
212,santa cruz,-17.8,-63.1667,25.7,65,100,3.09,BO,1697958649
213,richfield,44.8833,-93.283,8.12,89,20,2.06,US,1697958650
